ID,Date Created,Position Type,Date Closed,Entry Price,Exit Price,Benchmark Entry,Benchmark Exit,Return on Trade,Benchmark Return
0,2018-03-26,SHORT,2018-03-27,267.0,258.99,267.0,262.32000732421875,0.03045920748470844,-0.017683497942925668
2,2018-03-27,SHORT,2018-04-05,262.32000732421875,267.48001098632807,262.32000732421875,267.48001098632807,-0.019479677801909234,0.01947967780190922
4,2018-03-28,SHORT,2018-04-06,261.6199951171875,261.57000732421875,261.6199951171875,261.57000732421875,0.00019108848750002742,-0.0001910884875001291
6,2018-03-29,SHORT,2018-04-09,265.3699951171875,262.70001220703125,265.3699951171875,262.70001220703125,0.010112317024474172,-0.010112317024474274
8,2018-04-02,SHORT,2018-04-10,259.20999145507807,266.97000122070307,259.20999145507807,266.97000122070307,-0.029497786093729765,0.02949778609372973
10,2018-04-03,SHORT,2018-04-11,262.57998657226557,265.51998901367193,262.57998657226557,265.51998901367193,-0.011134379666794635,0.011134379666794706
12,2018-04-04,SHORT,2018-04-12,265.6300048828125,267.79000854492193,265.6300048828125,267.79000854492193,-0.008098741756491752,0.008098741756491841
14,2018-04-05,SHORT,2018-04-13,267.48001098632807,266.97000122070307,267.48001098632807,266.97000122070307,0.0019085411499172435,-0.0019085411499172218
16,2018-10-16,SHORT,2018-10-17,282.6199951171875,274.1413952636719,282.6199951171875,282.55999755859375,0.03045920748470844,-0.00021231310236258255
18,2018-10-17,SHORT,2018-10-18,282.55999755859375,274.08319763183596,282.55999755859375,278.510009765625,0.03045920748470844,-0.014436908346023592
20,2018-10-18,SHORT,2018-10-19,278.510009765625,270.15470947265624,278.510009765625,278.26998901367193,0.030459207484708654,-0.0008621745297872791
22,2018-10-19,SHORT,2018-10-22,278.26998901367193,269.92188934326174,278.26998901367193,277.22000122070307,0.030459207484708654,-0.003780406710893418
24,2018-10-22,SHORT,2018-10-23,277.22000122070307,268.903401184082,277.22000122070307,275.57000732421875,0.03045920748470844,-0.005969712806346621
26,2018-10-23,SHORT,2018-10-24,275.57000732421875,267.3029071044922,275.57000732421875,267.1400146484375,0.03045920748470844,-0.031068785998965866
28,2018-10-24,SHORT,2018-11-01,267.1400146484375,275.42001342773443,267.1400146484375,275.42001342773443,-0.030524333669376198,0.030524333669376177
30,2018-10-25,SHORT,2018-10-26,272.01998901367193,263.85938934326174,272.01998901367193,267.10000610351557,0.030459207484708654,-0.018252409649698854
32,2018-10-26,SHORT,2018-11-05,267.10000610351557,275.57000732421875,267.10000610351557,275.57000732421875,-0.031218563415267967,0.031218563415268047
34,2018-10-29,SHORT,2018-11-06,265.6099853515625,277.16000366210943,265.6099853515625,277.16000366210943,-0.04256595762641249,0.04256595762641252
36,2018-10-30,SHORT,2018-11-07,269.8599853515625,283.1300048828125,269.8599853515625,283.1300048828125,-0.04800292165032248,0.04800292165032254
38,2018-10-31,SHORT,2018-11-08,272.760009765625,282.5199890136719,272.760009765625,282.5199890136719,-0.03515698219836994,0.0351569821983699
40,2018-11-01,SHORT,2018-11-09,275.42001342773443,279.95999145507807,275.42001342773443,279.95999145507807,-0.0163494512467561,0.016349451246756123
42,2018-11-02,SHORT,2018-11-12,273.8900146484375,274.510009765625,273.8900146484375,274.510009765625,-0.0022611063228851138,0.0022611063228850027
44,2018-11-07,LONG,2018-11-15,283.1300048828125,274.95999145507807,283.1300048828125,274.95999145507807,-0.02928057190672967,-0.02928057190672967
46,2018-11-08,LONG,2018-11-16,282.5199890136719,275.739990234375,282.5199890136719,275.739990234375,-0.024290948326396597,-0.024290948326396597
48,2018-11-20,SHORT,2018-11-29,266.10000610351557,276.07000732421875,266.10000610351557,276.07000732421875,-0.03678228235835982,0.0367822823583598
50,2018-11-21,SHORT,2018-11-30,266.95999145507807,278.0,266.95999145507807,278.0,-0.040522311255767135,0.04052231125576711
52,2018-11-23,SHORT,2018-12-03,265.3099975585937,281.3699951171875,265.3099975585937,281.3699951171875,-0.058771567426480265,0.05877156742648016
54,2018-11-26,SHORT,2018-11-30,269.47000122070307,261.38590118408194,269.47000122070307,278.0,0.030459207484708654,0.03116404226197027
56,2018-12-04,LONG,2018-12-13,272.52999877929693,267.239990234375,272.52999877929693,267.239990234375,-0.01960160079286707,-0.01960160079286707
58,2018-12-06,LONG,2018-12-14,271.82000732421875,262.39999389648443,271.82000732421875,262.39999389648443,-0.035270075662722264,-0.035270075662722264
60,2018-12-07,LONG,2018-12-17,265.60000610351557,255.6499938964844,265.60000610351557,255.6499938964844,-0.03818214293087308,-0.03818214293087308
62,2018-12-10,SHORT,2018-12-11,266.0,258.02,266.0,266.04998779296875,0.030459207484708654,0.00018790637820770596
64,2018-12-11,SHORT,2018-12-12,266.04998779296875,258.0684881591797,266.04998779296875,267.489990234375,0.03045920748470844,0.005397930791441118
66,2018-12-12,SHORT,2018-12-13,267.489990234375,259.46529052734377,267.489990234375,267.239990234375,0.03045920748470844,-0.0009350514365993707
68,2018-12-13,SHORT,2018-12-14,267.239990234375,259.22279052734376,267.239990234375,262.39999389648443,0.03045920748470844,-0.01827706070516386
70,2018-12-14,SHORT,2018-12-17,262.39999389648443,254.5279940795899,262.39999389648443,255.6499938964844,0.030459207484708654,-0.026060736158075457
72,2018-12-17,SHORT,2018-12-18,255.6499938964844,247.98049407958987,255.6499938964844,255.6199951171875,0.03045920748470844,-0.0001173500497816952
74,2018-12-18,SHORT,2018-12-19,255.6199951171875,247.95139526367186,255.6199951171875,251.7400054931641,0.030459207484708654,-0.015295116917585163
76,2018-12-19,SHORT,2018-12-20,251.7400054931641,244.18780532836917,251.7400054931641,247.42999267578125,0.030459207484708654,-0.017269146562862867
78,2018-12-20,SHORT,2018-12-21,247.42999267578125,240.0070928955078,247.42999267578125,242.3500061035156,0.030459207484708654,-0.020744696645180142
80,2018-12-21,SHORT,2019-01-02,242.3500061035156,251.72000122070312,242.3500061035156,251.72000122070312,-0.03793437603208182,0.03793437603208176
82,2018-12-24,SHORT,2019-01-03,236.08999633789062,245.42999267578125,236.08999633789062,245.42999267578125,-0.03879867160269764,0.038798671602697704
84,2018-12-26,SHORT,2019-01-04,247.6699981689453,254.05999755859372,247.6699981689453,254.05999755859372,-0.025473242469591022,0.025473242469590925
86,2018-12-27,SHORT,2019-01-07,250.05999755859372,255.7700042724609,250.05999755859372,255.7700042724609,-0.022577740543428575,0.0225777405434287
88,2018-12-28,SHORT,2019-01-08,249.3300018310547,258.29000854492193,249.3300018310547,258.29000854492193,-0.0353056901852224,0.035305690185222366
90,2018-12-31,SHORT,2019-01-09,251.6100006103516,259.489990234375,251.6100006103516,259.489990234375,-0.030837856493822764,0.03083785649382273
92,2019-01-02,SHORT,2019-01-10,251.72000122070312,260.510009765625,251.72000122070312,260.510009765625,-0.03432392215094605,0.03432392215094604
94,2019-01-03,SHORT,2019-01-11,245.42999267578125,260.3699951171875,245.42999267578125,260.3699951171875,-0.0590919332195802,0.05909193321958017
96,2019-01-08,LONG,2019-01-11,258.29000854492193,266.0387088012696,258.29000854492193,260.3699951171875,0.02955880224154443,0.008020659808734875
98,2019-01-09,LONG,2019-01-11,259.489990234375,267.2746899414063,259.489990234375,260.3699951171875,0.02955880224154443,0.0033855489868652813
100,2019-08-06,SHORT,2019-08-14,289.3800048828125,285.6000061035156,289.3800048828125,285.6000061035156,0.013148468346011698,-0.01314846834601185
102,2019-08-07,SHORT,2019-08-15,289.6600036621094,286.3399963378906,289.6600036621094,286.3399963378906,0.011527930872688755,-0.011527930872688871
104,2019-08-08,SHORT,2019-08-09,295.2799987792969,286.42159881591795,295.2799987792969,293.3599853515625,0.030459207484708654,-0.0065235807579366685
106,2019-08-09,SHORT,2019-08-12,293.3599853515625,284.55918579101564,293.3599853515625,289.80999755859375,0.03045920748470844,-0.012174946406425037
108,2019-08-12,SHORT,2019-08-20,289.80999755859375,291.7900085449219,289.80999755859375,291.7900085449219,-0.006808867314638527,0.006808867314638409
110,2019-08-13,SHORT,2019-08-14,294.2799987792969,285.451598815918,294.2799987792969,285.6000061035156,0.03045920748470844,-0.02993943907968071
112,2019-08-14,SHORT,2019-08-22,285.6000061035156,294.07000732421875,285.6000061035156,294.07000732421875,-0.029225607306700145,0.02922560730670019
114,2019-08-15,SHORT,2019-08-23,286.3399963378906,286.4700012207031,286.3399963378906,286.4700012207031,-0.00045391974860358526,0.0004539197486036456
116,2019-08-16,SHORT,2019-08-26,290.5799865722656,289.6600036621094,290.5799865722656,289.6600036621094,0.003171045417583495,-0.0031710454175834335
118,2019-08-23,SHORT,2019-09-03,286.4700012207031,292.4100036621094,286.4700012207031,292.4100036621094,-0.020523116649702917,0.020523116649702855
120,2020-02-26,SHORT,2020-02-27,312.9100036621094,303.52270355224607,312.9100036621094,298.7099914550781,0.030459207484708654,-0.0464424464978892
122,2020-02-27,SHORT,2020-03-02,298.7099914550781,289.74869171142575,298.7099914550781,310.3999938964844,0.030459207484708654,0.038388594183652404
124,2020-02-28,SHORT,2020-03-02,295.9100036621094,287.03270355224606,295.9100036621094,310.3999938964844,0.030459207484708654,0.047806402233721096
126,2020-03-02,SHORT,2020-03-03,310.3999938964844,301.08799407958986,310.3999938964844,301.5,0.03045920748470844,-0.029091752478435345
128,2020-03-03,SHORT,2020-03-04,301.5,292.455,301.5,314.75,0.030459207484708654,0.04300865675721638
130,2020-03-04,SHORT,2020-03-12,314.75,248.9600067138672,314.75,248.9600067138672,0.2344864049667759,-0.23448640496677595
132,2020-03-05,SHORT,2020-03-13,303.760009765625,271.54998779296875,303.760009765625,271.54998779296875,0.11209170854500276,-0.11209170854500285
134,2020-03-06,SHORT,2020-03-09,298.70001220703125,289.7390118408203,298.70001220703125,274.79998779296875,0.030459207484708654,-0.08339625016257643
136,2020-03-09,SHORT,2020-03-10,274.79998779296875,266.55598815917966,274.79998779296875,289.54998779296875,0.030459207484708654,0.05228443558648598
138,2020-03-10,SHORT,2020-03-18,289.54998779296875,241.1699981689453,289.54998779296875,241.1699981689453,0.18282588009757064,-0.18282588009757075
140,2020-03-11,SHORT,2020-03-12,275.47000122070307,267.205901184082,275.47000122070307,248.9600067138672,0.03045920748470844,-0.10118646621541047
142,2020-03-12,SHORT,2020-03-13,248.9600067138672,241.49120651245116,248.9600067138672,271.54998779296875,0.030459207484708654,0.08685397157001025
144,2020-03-13,SHORT,2020-03-19,271.54998779296875,263.4034881591797,271.54998779296875,242.05999755859372,0.03045920748470844,-0.11496062030318815
146,2020-03-16,SHORT,2020-03-17,240.1199951171875,232.91639526367186,240.1199951171875,255.38999938964844,0.030459207484708654,0.06165300812543742
148,2020-03-17,SHORT,2020-03-18,255.38999938964844,247.72829940795899,255.38999938964844,241.1699981689453,0.03045920748470844,-0.057289714758597496
150,2020-03-18,SHORT,2020-03-19,241.1699981689453,233.93489822387696,241.1699981689453,242.05999755859372,0.03045920748470844,0.003683547808905153
152,2020-03-19,SHORT,2020-03-20,242.05999755859372,234.7981976318359,242.05999755859372,231.16000366210938,0.030459207484708654,-0.04607549193261122
154,2020-03-20,SHORT,2020-03-30,231.16000366210938,262.3599853515625,231.16000366210938,262.3599853515625,-0.12660742330029257,0.12660742330029262
156,2020-03-23,SHORT,2020-03-31,224.6499938964844,258.39999389648443,224.6499938964844,258.39999389648443,-0.13996513994086046,0.13996513994086054
158,2020-03-24,LONG,2020-03-25,245.8800048828125,253.25640502929687,245.8800048828125,247.47000122070312,0.02955880224154443,0.006445735576154962
160,2020-03-25,SHORT,2020-04-02,247.47000122070312,252.58999633789062,247.47000122070312,252.58999633789062,-0.020478238879167835,0.02047823887916783
162,2020-03-26,LONG,2020-03-31,262.3699951171875,270.24109497070316,262.3699951171875,258.39999389648443,0.02955880224154443,-0.015246954367114856
164,2020-03-27,LONG,2020-03-30,254.2400054931641,261.867205657959,254.2400054931641,262.3599853515625,0.02955880224154443,0.0314388261975633
166,2020-03-30,LONG,2020-03-31,262.3599853515625,270.23078491210936,262.3599853515625,258.39999389648443,0.02955880224154443,-0.015208802304153805
168,2020-03-31,LONG,2020-04-01,258.39999389648443,266.151993713379,258.39999389648443,246.8000030517578,0.02955880224154443,-0.045930443891490355
170,2020-04-01,LONG,2020-04-02,246.8000030517578,254.20400314331056,246.8000030517578,252.58999633789062,0.02955880224154443,0.023189301956109628
172,2020-04-02,LONG,2020-04-03,252.58999633789062,260.16769622802735,252.58999633789062,249.0200042724609,0.02955880224154443,-0.014234374671283748
174,2020-04-03,LONG,2020-04-14,249.0200042724609,284.8299865722656,249.0200042724609,284.8299865722656,0.1343592322445671,0.1343592322445671
176,2020-04-06,LONG,2020-04-07,265.79998779296875,273.7739874267578,265.79998779296875,265.91000366210943,0.02955880224154443,0.0004138190836308061
178,2020-04-07,LONG,2020-04-08,265.91000366210943,273.8873037719727,265.91000366210943,275.0,0.02955880224154443,0.033613178229421926
180,2020-04-08,LONG,2020-04-09,275.0,283.25,275.0,279.1199951171875,0.02955880224154443,0.014870681718351314
182,2020-04-09,LONG,2020-04-13,279.1199951171875,287.49359497070316,279.1199951171875,276.44000244140625,0.02955880224154443,-0.009647971330133545
184,2020-04-13,LONG,2020-04-14,276.44000244140625,284.73320251464844,276.44000244140625,284.8299865722656,0.02955880224154443,0.029898655871143966
186,2020-04-14,LONG,2020-04-22,284.8299865722656,280.0599975585937,284.8299865722656,280.0599975585937,-0.016888606715742147,-0.016888606715742147
188,2020-04-15,LONG,2020-04-16,278.57000732421875,286.92710754394534,278.57000732421875,280.04998779296875,0.02955880224154443,0.005298714490680471
190,2020-04-16,LONG,2020-04-20,280.04998779296875,288.4514874267578,280.04998779296875,282.4599914550781,0.02955880224154443,0.008568802322038906
192,2020-04-17,LONG,2020-04-27,287.5799865722656,288.19000244140625,287.5799865722656,288.19000244140625,0.00211895760121932,0.00211895760121932
194,2020-04-20,LONG,2020-04-21,282.4599914550781,290.9337911987305,282.4599914550781,273.8599853515625,0.02955880224154443,-0.030919943973817445
196,2020-04-21,LONG,2020-04-22,273.8599853515625,282.0757849121094,273.8599853515625,280.0599975585937,0.02955880224154443,0.022386883794885407
198,2020-04-22,LONG,2020-04-23,280.0599975585937,288.4617974853515,280.0599975585937,279.98001098632807,0.02955880224154443,-0.00028564592382361164
200,2020-04-23,LONG,2020-04-24,279.98001098632807,288.37941131591793,279.98001098632807,283.8999938964844,0.02955880224154443,0.013903830693735963
202,2020-04-24,LONG,2020-04-27,283.8999938964844,292.41699371337893,283.8999938964844,288.19000244140625,0.02955880224154443,0.014997951328539818
204,2020-04-27,LONG,2020-05-05,288.19000244140625,287.1400146484375,288.19000244140625,287.1400146484375,-0.003650040594129684,-0.003650040594129684
206,2020-04-28,LONG,2020-05-06,286.6400146484375,285.25,286.6400146484375,285.25,-0.004861135358466436,-0.004861135358466436
208,2020-04-30,LONG,2020-05-08,291.1600036621094,293.4599914550781,291.1600036621094,293.4599914550781,0.007868357833768595,0.007868357833768595
210,2020-05-04,LONG,2020-05-05,284.6300048828125,293.16890502929687,284.6300048828125,287.1400146484375,0.02955880224154443,0.008779844355871516
212,2020-05-05,LONG,2020-05-11,287.1400146484375,295.75421508789066,287.1400146484375,293.45001220703125,0.02955880224154443,0.021737355888164073
214,2020-05-06,LONG,2020-05-07,285.25,293.8075,285.25,288.6300048828125,0.02955880224154443,0.011779619216301496
216,2020-05-07,LONG,2020-05-11,288.6300048828125,297.28890502929687,288.6300048828125,293.45001220703125,0.02955880224154443,0.016561700644190547
218,2020-05-08,LONG,2020-05-18,293.4599914550781,296.0400085449219,293.4599914550781,296.0400085449219,0.0087532945318655,0.0087532945318655
220,2020-05-11,LONG,2020-05-18,293.45001220703125,302.2535125732422,293.45001220703125,296.0400085449219,0.02955880224154443,0.008787300590666857
222,2020-05-14,SHORT,2020-05-22,285.9200134277344,296.4100036621094,285.9200134277344,296.4100036621094,-0.0360315450249491,0.03603154502494901
224,2020-05-18,LONG,2020-05-20,296.0400085449219,304.92120880126953,296.0400085449219,297.989990234375,0.02955880224154443,0.006565286930376456
226,2020-05-19,LONG,2020-05-20,292.989990234375,301.7796899414063,292.989990234375,297.989990234375,0.02955880224154443,0.01692145071283327
228,2020-05-21,LONG,2020-05-22,295.80999755859375,304.6842974853516,295.80999755859375,296.4100036621094,0.02955880224154443,0.002026295321247533
230,2020-05-22,LONG,2020-05-26,296.4100036621094,305.3023037719727,296.4100036621094,300.1700134277344,0.02955880224154443,0.01260538216238246
232,2020-05-26,LONG,2020-05-27,300.1700134277344,309.17511383056643,300.1700134277344,304.54998779296875,0.02955880224154443,0.014486211638596798
234,2020-05-27,LONG,2020-05-28,304.54998779296875,313.6864874267578,304.54998779296875,303.95001220703125,0.02955880224154443,-0.001971982844257701
236,2020-05-28,LONG,2020-05-29,303.95001220703125,313.0685125732422,303.95001220703125,305.17999267578125,0.02955880224154443,0.004038488107876772
238,2020-05-29,LONG,2020-06-01,305.17999267578125,314.3353924560547,305.17999267578125,306.67999267578125,0.02955880224154443,0.004903092344488689
240,2020-06-01,LONG,2020-06-02,306.67999267578125,315.8803924560547,306.67999267578125,309.2300109863281,0.02955880224154443,0.008280537305851843
242,2020-06-02,LONG,2020-06-03,309.2300109863281,318.506911315918,309.2300109863281,313.3900146484375,0.02955880224154443,0.013363095935804025
244,2020-06-03,LONG,2020-06-04,313.3900146484375,322.7917150878906,313.3900146484375,312.3399963378906,0.02955880224154443,-0.0033561417151188985
246,2020-06-04,LONG,2020-06-05,312.3399963378906,321.71019622802737,312.3399963378906,320.4800109863281,0.02955880224154443,0.025727579863415093
248,2020-06-05,LONG,2020-06-15,320.4800109863281,306.8900146484375,320.4800109863281,306.8900146484375,-0.04333048127520815,-0.04333048127520815
250,2020-06-08,LONG,2020-06-16,324.3999938964844,312.7900085449219,324.3999938964844,312.7900085449219,-0.03644523725741268,-0.03644523725741268
252,2020-06-09,LONG,2020-06-17,322.010009765625,311.3800048828125,322.010009765625,311.3800048828125,-0.03356858434716083,-0.03356858434716083
254,2020-06-10,LONG,2020-06-18,320.1099853515625,311.6199951171875,320.1099853515625,311.6199951171875,-0.026880159844554923,-0.026880159844554923
256,2020-06-11,LONG,2020-06-12,301.5899963378906,310.6376962280274,301.5899963378906,305.3599853515625,0.02955880224154443,0.012422893523167397
258,2020-06-12,LONG,2020-06-15,305.3599853515625,314.5207849121094,305.3599853515625,306.8900146484375,0.02955880224154443,0.004998064457222863
260,2020-06-15,LONG,2020-06-23,306.8900146484375,313.2099914550781,306.8900146484375,313.2099914550781,0.020384439882229505,0.020384439882229505
262,2020-06-16,LONG,2020-06-24,312.7900085449219,305.29998779296875,312.7900085449219,305.29998779296875,-0.02423720641195565,-0.02423720641195565
264,2020-06-17,LONG,2020-06-25,311.3800048828125,308.5,311.3800048828125,308.5,-0.009292203597287298,-0.009292203597287298
266,2020-06-18,SHORT,2020-06-19,311.6199951171875,302.2713952636719,311.6199951171875,309.7200012207031,0.03045920748470844,-0.006115813660249442
268,2020-06-19,SHORT,2020-06-22,309.7200012207031,300.428401184082,309.7200012207031,311.94000244140625,0.030459207484708654,0.007142201990369824
270,2020-09-02,LONG,2020-09-11,359.239990234375,335.3800048828125,359.239990234375,335.3800048828125,-0.06872642974061542,-0.06872642974061542
272,2020-09-03,LONG,2020-09-14,346.82000732421875,339.8399963378906,346.82000732421875,339.8399963378906,-0.02033102665107804,-0.02033102665107804
274,2020-09-09,SHORT,2020-09-11,341.17999267578125,330.9445928955078,341.17999267578125,335.3800048828125,0.030459207484708654,-0.017145943907049287
276,2020-09-10,SHORT,2020-09-14,335.2200012207031,325.16340118408203,335.2200012207031,339.8399963378906,0.03045920748470844,0.013687871496927372
278,2020-09-11,SHORT,2020-09-14,335.3800048828125,325.3186047363281,335.3800048828125,339.8399963378906,0.030459207484708654,0.013210675959530009
280,2020-09-14,SHORT,2020-09-15,339.8399963378906,329.6447964477539,339.8399963378906,341.57000732421875,0.030459207484708654,0.005077749649050385
282,2020-09-15,SHORT,2020-09-16,341.57000732421875,331.3229071044922,341.57000732421875,340.2099914550781,0.030459207484708654,-0.003989608599607816
284,2020-09-16,SHORT,2020-09-17,340.2099914550781,330.00369171142574,340.2099914550781,337.2900085449219,0.030459207484708654,-0.008619929123152905
286,2020-09-17,SHORT,2020-09-18,337.2900085449219,327.1713082885742,337.2900085449219,333.3399963378906,0.030459207484708654,-0.011780140635906478
288,2020-09-18,SHORT,2020-09-21,333.3399963378906,323.3397964477539,333.3399963378906,329.6300048828125,0.030459207484708654,-0.011192151004135157
290,2020-09-21,SHORT,2020-09-29,329.6300048828125,333.510009765625,329.6300048828125,333.510009765625,-0.01170205107120234,0.011702051071202257
292,2020-09-25,SHORT,2020-10-05,329.8800048828125,340.8999938964844,329.8800048828125,340.8999938964844,-0.032860194472795486,0.03286019447279545
294,2020-09-28,SHORT,2020-10-06,335.3599853515625,336.05999755859375,335.3599853515625,336.05999755859375,-0.002085170172121164,0.002085170172121142
296,2020-09-29,SHORT,2020-10-07,333.510009765625,341.8999938964844,333.510009765625,341.8999938964844,-0.02484539959850991,0.024845399598510006
298,2020-09-30,SHORT,2020-10-08,336.05999755859375,344.9800109863281,336.05999755859375,344.9800109863281,-0.026196767997754673,0.026196767997754552
300,2020-10-01,SHORT,2020-10-09,338.239990234375,348.010009765625,338.239990234375,348.010009765625,-0.028475569245140452,0.02847556924514049
302,2020-10-02,SHORT,2020-10-12,335.04998779296875,353.69000244140625,335.04998779296875,353.69000244140625,-0.054141092181357334,0.05414109218135734
304,2020-10-08,LONG,2020-10-16,344.9800109863281,348.45001220703125,344.9800109863281,348.45001220703125,0.010008306734145045,0.010008306734145045
306,2020-10-09,LONG,2020-10-19,348.010009765625,343.2200012207031,348.010009765625,343.2200012207031,-0.01385959852435483,-0.01385959852435483
308,2020-10-19,LONG,2020-10-27,343.2200012207031,339.42999267578125,343.2200012207031,339.42999267578125,-0.011103925936197825,-0.011103925936197825
310,2020-11-03,SHORT,2020-11-11,337.2799987792969,357.92999267578125,337.2799987792969,357.92999267578125,-0.0594239737994203,0.05942397379942038
312,2020-11-04,SHORT,2020-11-12,344.7300109863281,354.5199890136719,344.7300109863281,354.5199890136719,-0.028003197073870365,0.02800319707387045
314,2020-11-05,SHORT,2020-11-13,351.4700012207031,359.3399963378906,351.4700012207031,359.3399963378906,-0.022144642738152608,0.022144642738152486
316,2020-11-06,SHORT,2020-11-16,351.44000244140625,363.7999877929688,351.44000244140625,363.7999877929688,-0.034565225915395806,0.034565225915395785
318,2020-11-09,LONG,2020-11-17,355.8299865722656,361.95001220703125,355.8299865722656,361.95001220703125,0.017053063491970697,0.017053063491970697
320,2020-11-10,LONG,2020-11-18,355.3699951171875,357.5899963378906,355.3699951171875,357.5899963378906,0.006227581974089278,0.006227581974089278
322,2020-11-11,LONG,2020-11-19,357.92999267578125,359.0400085449219,357.92999267578125,359.0400085449219,0.0030964106005297244,0.0030964106005297244
324,2020-11-12,LONG,2020-11-19,354.5199890136719,365.15558868408203,354.5199890136719,359.0400085449219,0.02955880224154443,0.012669095812742955
326,2020-11-13,LONG,2020-11-23,359.3399963378906,358.7699890136719,359.3399963378906,358.7699890136719,-0.0015875212865947685,-0.0015875212865947685
328,2020-11-16,LONG,2020-11-24,363.7999877929688,364.510009765625,363.7999877929688,364.510009765625,0.0019497801759520246,0.0019497801759520246
330,2020-11-17,LONG,2020-11-25,361.95001220703125,363.989990234375,361.95001220703125,363.989990234375,0.005620253437624826,0.005620253437624826
